PGD Type,Type,Grain Label,Meteorite,12C/13C,err+[12C/13C],err-[12C/13C]
X,X,M08-480,Murchison,9455.1,591.4,591.4
X,X,KJE15,Murchison,6793,5233,2060
X,X,5B-350-22,Qingzhen,6227,1007,1007
X,X,5B-187-20,Qingzhen,4250,690,690
X,X,M8-7-12,Murchison,3993.46,417.47,345.28
C,C,IH6-e2-3-4,Indarch,3290.1,526.9,526.9
X,X,KJE-a2-14-8,Murchison,3101.02,115.81,115.81
X,X,M08-337,Murchison,2882.4,77,77
X,X,5B-77-15,Qingzhen,2807,886,886
X,X,AF15bB-205-3,Acfer 094,2730,495,363
X,X,X4 (KJH8-511),Murchison,2525,143,143
X,X,KJE-a2-13-4,Murchison,2509.69,85.05,85.05
X,X,KJE-a1-6-18,Murchison,2377.19,27.91,27.91
X,X,M08-261,Murchison,2234.3,79,79
X,X,KJGM4-40-8,Murchison,2224,131,117
X,X,KJGN2-125-1,Murchison,1980.8,20.73,20.73
X,X,KJE26,Murchison,1877,13206,876
X,X,5A-283-8,Qingzhen,1848,378,378
X,X,KJGM4-65-10,Murchison,1721,53,50
X,X,KJE-a1-45-8,Murchison,1693.89,21.11,21.11
X,X,KJE18,Murchison,1621,488,305
X,X,5A-117-3,Qingzhen,1581,102,102
X,X,KJE-a2-44-1,Murchison,1549.52,29.49,29.49
X,X,5A-551-24,Qingzhen,1528,270,270
X,X,M08-482,Murchison,1510.1,29.8,29.8
X,X,M08-69,Murchison,1453.1,36.9,36.9
X,X,KJGL1-312-1,Murchison,1413,186,147
X,X,KJGM4C-81-8,Murchison,1357.41,100,100
X,X,KJGM1-147-4,Murchison,1299.53,67.94,67.94
X,X,KJE910,Murchison,1296.0,328.3,328.3
X,X,KJG6L-47-3,Murchison,1272,63,57
X,X,KJE22,Murchison,1234,358,226
X,X,KJGL1-82-4,Murchison,1229,70,63
X,X,KJD36,Murchison,1219,13613,583
X,X,KJA1-3-7-11,Murchison,1205.79,204.12,204.12
X,X,X1 (KJG2-422),Murchison,1135,58,58
X,X,M08-249-8,Murchison,1128.8,32,32
X,X,KJGL1-237-2,Murchison,1086,120,98
X,X,KJGM4-196-7,Murchison,1038,36,33
X,X,M7b@2_23_1_mg_1,Murchison ,1029.70,37.26,37.26
X,X,5A-80-7,Qingzhen,1026,65,65
X,X,KJGM2-55-5,Murchison,999,88,75
X,X,SiC#422-1,Sahara 97173,959,36,36
X,X,M7b@3_47_1_mg_5,Murchison ,946.59,68.20,68.20
X,X,M7@14_1_1_mg_10,Murchison ,900.28,63.14,63.14
X,X,IN28bB-21-3,Indarch,880.6,11.7,11.4
C,C,KJGP1-146-1,Murchison,844,34,34
X,X,M9-132-4,Murchison,823,18,18
X,X,4A-482-20,Qingzhen,765,147,147
Y,Y,KJE-a1-40-1,Murchison,747.67,5.97,5.97
X,X,KJGM4-244-1,Murchison,729,43,39
X,X,M7b@2_60_1_mg_3,Murchison ,723.90,42.79,42.79
X,X,KJGL1-247-1,Murchison,705,38,35
X,X,M33-15-4,Murchison,700.96,1808.41,293.58
X,X,KJE-a2-28-7,Murchison,693.38,9.15,9.15
X,X,region2_3_1_1,Indarch,681.6,9.4,9.4
X,X,M08-443-6-2,Murchison,678.5,20.4,20.4
X,X,KJGM4-106-5,Murchison,677,23,21
X,X,M08-226,Murchison,648.5,12.2,12.2
X,X,5B-458-11,Qingzhen,634,103,103
X,X,KJG-CHRL108-113-3,Murchison,621,15,15
X,X,KJG6L-130-1,Murchison,617,16,15
X,X,KJGM1-155-13,Murchison,614.03,24.32,24.32
X,X,Muri11B-29-1,Murchison,607.48,45.32,39.43
X,X,KJG-CHRL108-032-2,Murchison,604,10,10
X,X,KJGM2-244-6,Murchison,603,49,42
X,X,5B-340-18,Qingzhen,591,42,42
X,X,KJG6L-111-1,Murchison,586,16,15
X,X,KJGN2-268-6,Murchison,579.7,4.3,4.3
X,X,KJGM1-75-4,Murchison,578.92,18.64,18.64
X,X,KJE895,Murchison,577.2,103.6,103.6
X,X,M08-432,Murchison,570,14.2,14.2
X,X,M7@11_9_1_mg_1,Murchison ,560.30,30.78,30.78
X,X,4A-300-6,Qingzhen,556,42,42
X,X,Org-407,Orgueil,552.0,8.5,8.5
X,X,KJGL1-399-1,Murchison,534,16,15
X,X,5B-212-2,Qingzhen,532,13,13
X,X,M08-97,Murchison,508.6,8.4,8.4
X,X,M7b@1_4_1_mg_10,Murchison ,506.35,34.59,34.59
X,X,M08-345,Murchison,506.1,12.2,12.2
X,X,e5-2_8_1_mg_9,Indarch,498.41,25.32,25.32
X,X,KJGM2-312-2,Murchison,489,14,14
X,X,M26a-430-4,Murchison,479.84,73.51,56.27
X,X,M33b-105-3,Murchison,478.06,42.07,35.78
X,X,KJE28,Murchison,475,75,57
X,X,M08-404,Murchison,468.6,5.1,5.1
X,X,M7b@2_25_1_mg_7 (M7-X20),Murchison ,456.80,12.41,12.41
X,X,KJD31,Murchison,455,445,151
X,X,KJGM2-3-2,Murchison,454,17,15
X,X,KJGM4-230-1,Murchison,448,18,17
X,X,KJB2-3-9-9,Murchison,444.61,118.97,118.97
X,X,KJD39,Murchison,443,113,75
X,X,KJG-CHRL108-133-1,Murchison,442.8,7.7,7.7
X,X,KJGN2-350-2,Murchison,437,2.77,2.77
X,X,KJB2-9-6-3,Murchison,434.57,20.8,20.8
X,X,KJD35,Murchison,430,1000000,277
X,X,e5-2_6_1_mg_16,Indarch,409.18,13.99,13.99
X,X,M10-9-18,Murchison,408.89,183.26,96.64
X,X,KJG-585-2,Murchison,408.5,2.3,2.3
X,X,M08-115,Murchison,396.9,9.9,9.9
X,X,KJGM1-47-1,Murchison,395.41,11.65,11.65
X,X,4A-134-9,Qingzhen,391,27,27
C,C,KJB2-11-8-11 (E),Murchison,389.58,39.64,39.64
X,X,SiC#294-3,Sahara 97171,389,19,19
C,C,KJA1-2-11-2 (C),Murchison,386.61,7.66,7.66
X,X,KJGM4C-122-5,Murchison,381.37,11.47,11.47
X,X,5B-209-21,Qingzhen,381,15,15
X,X,KJG-CHRL108-153-8,Murchison,381,13,13
X,X,M26a-429-6,Murchison,379.16,68.40,50.27
X,X,KJE25,Murchison,378,949,158
X,X,M9-68-3,Murchison,372,6,6
U,C,KJA1-4-9-6 (A),Murchison,368.49,52.76,52.76
X,X,M08-435-5,Murchison,365.6,3.8,3.8
X,X,KJGM4-244-2,Murchison,364,18,17
Y,Y,Oct-17-10-11,Indarch,361.4,17.6,17.6
X,X,KJGM1-66-3,Murchison,357.28,9.01,9.01
X,X,5A-188-1,Qingzhen,357,9,9
X,X,KJGM4-166-1,Murchison,348,26,22
X,X,X13 (WF_6#3.13),Murchison ,345.1,6.3,6.3
X,X,M08-82-1,Murchison,344.6,3.2,3.2
X,X,KJE16,Murchison,342,52,40
X,X,KJD30,Murchison,336,180,87
X,X,KJGM4-249-4,Murchison,330.8,9.1,8.6
X,X,5B-250-22,Qingzhen,329,22,22
X,X,M08-85,Murchison,328.1,4.7,4.7
X,X,X11 (WF_5#15.5),Murchison ,325.5,14.0,14.0
X,X,M7b@3_9_1_mg_9 (M7-X25),Murchison ,324.30,15.52,15.52
X,X,AF15bB-351-5,Acfer 094,321,76,52
X,X,M26a-49-27,Murchison,320.11,18.75,16.78
X,X,K20,Krymka,319.6,90.0,90.0
X,X,KJGL1-189-1,Murchison,317,11,10
X,X,KJG6L-75-4,Murchison,317,32,26
X,X,KJGM2-141-6,Murchison,316.6,9.1,8.6
X,X,M33b-247-9,Murchison,316.27,10.47,9.82
X,X,KJGL1-231-2,Murchison,315.1,10.4,9.7
X,X,5B-81-21,Qingzhen,314,31,31
X,X,KJGL1-271-3,Murchison,310.6,8.7,8.3
X,X,KJB2-13-9-12,Murchison,308.36,11.93,11.93
X,X,KJG-CHRL108-209-1,Murchison,306.3,5.8,5.8
X,X,X2 (KJH1-166),Murchison,304,3,3
X,X,KJGN2-393-1,Murchison,303.3,1.87,1.87
X,X,KJE788,Murchison,301.9,66.6,66.6
X,X,M08-149-5-1,Murchison,301.6,3.2,3.2
X,X,M26a-84-9,Murchison,296.32,25.04,21.42
Y,Y,KJGM1-337-3,Murchison,295,6,6
X,X,KJE21,Murchison,294,57,41
X,X,5A-564-14,Qingzhen,291,8,8
X,X,KJG6L-105-1,Murchison,289.9,5.7,5.5
X,X,KJC98,Murchison,287,59,42
X,X,KJC182,Murchison,287.4,58.7,41.7
X,X,5B-349-1,Qingzhen,286,12,12
X,X,373#3,Murchison,286,5,5
X,X,KJG-CHRL108-196-5,Murchison,277.8,8.2,8.2
X,X,KJB2-2-7-9,Murchison,277.17,34.18,34.18
X,X,KJGL1-255-1,Murchison,276.7,7.0,6.7
X,X,Oct-16-10-18,Indarch,275,9.6,9.6
X,X,KJGM2-182-6,Murchison,274,20,17
X,X,M7b@1_3_1_mg_15,Murchison ,270.42,6.46,6.46
X,X,KJE315,Murchison,270.2,31.2,31.2
Y,Y,KJE384,Murchison,267.2,39.8,39.8
U,C,KJB2-11-17-1 (B),Murchison,265,14,14
X,X,gm_test2_4_1_mg_16,Indarch,265.11,5.61,5.61
X,X,KJB2-13-22-8,Murchison,264.48,4.59,4.59
Y,Y,KJH5-851 (Y4),Murchison,258.22,8.83,8.83
Y,Y,KJE-a2-39-1,Murchison,255.42,1.37,1.37
X,X,KJGM1-53-4,Murchison,254.44,10.02,10.02
X,X,KJGN2-31-1,Murchison,250.2,1.7,1.7
X,X,X3 (WF_2#3.2),Murchison ,243.6,4.8,4.8
X,X,M08-57,Murchison,243.4,3.6,3.6
X,X,X4 (WF_2#10.1),Murchison ,241.5,5.8,5.8
X,X,M7@15_22_1_mg_8,Murchison ,241.06,5.87,5.87
X,X,KJGM2-232-2,Murchison,236,52,36
X,X,KJE-a1-33-7,Murchison,234.75,1.42,1.42
X,X,KJGM4-335-6,Murchison,234.7,8.3,7.8
C,C,SiC-5,Murchison,233,8,8
X,X,5B-154-16,Qingzhen,232,9,9
X,X,M33b-212-7,Murchison,230.59,6.86,6.48
X,X,M08-424-2-1,Murchison,230.4,2.8,2.8
Y,Y,KJGM4C-110-2,Murchison,229,7,7
X,X,Feb-25-7-16,Indarch,228.5,4.54,4.54
X,X,M26a-79-1,Murchison,227.45,30.36,23.96
X,X,Muri11B-186-1,Murchison,227.22,8.46,7.87
X,X,KJE27,Murchison,226,27,22
X,X,M7@15_22_1_mg_9,Murchison ,224.28,3.31,3.31
X,X,4A-219-27B,Qingzhen,223,39,39
