Type,12C/13C,errplus12C13C,errminus12C13C
4,9455.1,591.4,591.4
4,6793,5233,2060
4,6227,1007,1007
4,4250,690,690
4,3993.46,417.47,345.28
9,3290.1,526.9,526.9
4,3101.02,115.81,115.81
4,2882.4,77,77
4,2807,886,886
4,2730,495,363
4,2525,143,143
4,2509.69,85.05,85.05
4,2377.19,27.91,27.91
4,2234.3,79,79
4,2224,131,117
4,1980.8,20.73,20.73
4,1877,13206,876
4,1848,378,378
4,1721,53,50
4,1693.89,21.11,21.11
4,1621,488,305
4,1581,102,102
4,1549.52,29.49,29.49
4,1528,270,270
4,1510.1,29.8,29.8
4,1453.1,36.9,36.9
4,1413,186,147
4,1357.41,100,100
4,1299.53,67.94,67.94
4,1296,328.3,328.3
4,1272,63,57
4,1234,358,226
4,1229,70,63
4,1219,13613,583
4,1205.79,204.12,204.12
4,1135,58,58
4,1128.8,32,32
4,1086,120,98
4,1038,36,33
4,1029.7,37.26,37.26
4,1026,65,65
4,999,88,75
4,959,36,36
4,946.59,68.2,68.2
4,900.28,63.14,63.14
4,880.6,11.7,11.4
9,844,34,34
4,823,18,18
4,765,147,147
5,747.67,5.97,5.97
4,729,43,39
4,723.9,42.79,42.79
4,705,38,35
4,700.96,1808.41,293.58
4,693.38,9.15,9.15
4,681.6,9.4,9.4
4,678.5,20.4,20.4
4,677,23,21
4,648.5,12.2,12.2
4,634,103,103
4,621,15,15
4,617,16,15
4,614.03,24.32,24.32
4,607.48,45.32,39.43
4,604,10,10
4,603,49,42
4,591,42,42
4,586,16,15
4,579.7,4.3,4.3
4,578.92,18.64,18.64
4,577.2,103.6,103.6
4,570,14.2,14.2
4,560.3,30.78,30.78
4,556,42,42
4,552,8.5,8.5
4,534,16,15
4,532,13,13
4,508.6,8.4,8.4
4,506.35,34.59,34.59
4,506.1,12.2,12.2
4,498.41,25.32,25.32
4,489,14,14
4,479.84,73.51,56.27
4,478.06,42.07,35.78
4,475,75,57
4,468.6,5.1,5.1
4,456.8,12.41,12.41
4,455,445,151
4,454,17,15
4,448,18,17
4,444.61,118.97,118.97
4,443,113,75
4,442.8,7.7,7.7
4,437,2.77,2.77
4,434.57,20.8,20.8
4,430,1000000,277
4,409.18,13.99,13.99
4,408.89,183.26,96.64
4,408.5,2.3,2.3
4,396.9,9.9,9.9
4,395.41,11.65,11.65
4,391,27,27
9,389.58,39.64,39.64
4,389,19,19
9,386.61,7.66,7.66
4,381.37,11.47,11.47
4,381,15,15
4,381,13,13
4,379.16,68.4,50.27
4,378,949,158
4,372,6,6
9,368.49,52.76,52.76
4,365.6,3.8,3.8
4,364,18,17
5,361.4,17.6,17.6
4,357.28,9.01,9.01
4,357,9,9
4,348,26,22
4,345.1,6.3,6.3
4,344.6,3.2,3.2
4,342,52,40
4,336,180,87
4,330.8,9.1,8.6
4,329,22,22
4,328.1,4.7,4.7
4,325.5,14,14
4,324.3,15.52,15.52
4,321,76,52
4,320.11,18.75,16.78
4,319.6,90,90
4,317,11,10
4,317,32,26
4,316.6,9.1,8.6
4,316.27,10.47,9.82
4,315.1,10.4,9.7
4,314,31,31
4,310.6,8.7,8.3
4,308.36,11.93,11.93
4,306.3,5.8,5.8
4,304,3,3
4,303.3,1.87,1.87
4,301.9,66.6,66.6
4,301.6,3.2,3.2
4,296.32,25.04,21.42
5,295,6,6
4,294,57,41
4,291,8,8
4,289.9,5.7,5.5
4,287,59,42
4,287.4,58.7,41.7
4,286,12,12
4,286,5,5
4,277.8,8.2,8.2
4,277.17,34.18,34.18
4,276.7,7,6.7
4,275,9.6,9.6
4,274,20,17
4,270.42,6.46,6.46
4,270.2,31.2,31.2
5,267.2,39.8,39.8
9,265,14,14
4,265.11,5.61,5.61
4,264.48,4.59,4.59
5,258.22,8.83,8.83
5,255.42,1.37,1.37
4,254.44,10.02,10.02
4,250.2,1.7,1.7
4,243.6,4.8,4.8
4,243.4,3.6,3.6
4,241.5,5.8,5.8
4,241.06,5.87,5.87
4,236,52,36
4,234.75,1.42,1.42
4,234.7,8.3,7.8
9,233,8,8
4,232,9,9
4,230.59,6.86,6.48
4,230.4,2.8,2.8
5,229,7,7
4,228.5,4.54,4.54
4,227.45,30.36,23.96
4,227.22,8.46,7.87
4,226,27,22
4,224.28,3.31,3.31
4,223,39,39
4,220.91,4.63,4.63
4,219.6,6.25,6.25
4,216.59,5.84,5.84
4,216.2,1.3,1.3
4,216,15,13
4,214.8,7.7,7.7
5,214,4.4,4.4
5,213.1,2.25,2.25
5,212.06,13.84,12.24
5,211.26,7.11,7.11
5,211,16.3,16.3
4,210.6,1.24,1.24
4,210.33,7.56,7.56
5,209.75,27.44,21.75
5,209.5,7.13,7.13
4,209.2,3.9,3.7
5,209,4.33,4.33
5,208.04,2.74,2.74
4,207.13,12.3,12.3
5,206.9,2.4,2.4
4,206.2,4.4,4.2
4,203.9,2.1,2.1
4,203.9,2.3,2.2
5,203,3,3
5,202.37,12.22,12.22
5,200.38,6.79,6.79
4,199.9,20.9,20.9
5,199.65,1.27,1.27
4,199.3,4.3,4.3
5,198,21.6,21.6
4,197.92,3.69,3.69
5,197.72,35.09,35.09
5,196.7,26.8,26.8
4,195.3,3.2,3.2
4,195,11,10
5,194.66,6.41,6.41
5,194.4,96.3,48.4
5,193.87,25.84,20.4
4,193.2,3.8,3.7
5,193,5,5
5,192.67,3.42,3.42
9,192.03,1.08,1.08
4,191.7,2.1,2.1
4,191,7,7
4,190.2,1,1
4,189.6,1.7,1.7
4,188.87,4.71,4.71
5,187.7,5,5
4,187.4,2.4,2.4
4,185.7,1.3,1.3
5,185.51,1.29,1.29
4,185.2,15.1,15.1
4,185,17,15
4,184,6,6
5,183.9,5.96,5.96
5,183.6,12.3,12.3
4,182.9,4.8,4.5
5,182.1,12.8,12.8
4,181.8,4.2,4.2
5,181.69,11.27,11.27
5,179.54,9.06,9.06
5,179.21,2.98,2.98
4,178.11,4.55,4.33
9,177.93,20.36,20.36
4,177,6,6
5,175.32,0.94,0.94
5,175.18,1.38,1.38
4,174.6,17.8,17.8
5,173.4,10.1,10.1
4,173.3,3.2,3.2
5,172.47,2.51,2.44
5,172.34,6.53,6.53
5,170.92,2.71,2.71
5,170.8,4.5,4.5
5,170.1,64.9,36.8
4,170,13,12
4,169.6,2.1,2.1
5,169.35,4.96,4.96
5,168.94,14.9,12.67
4,168,4,4
4,167.8,15.3,15.3
5,167.7,10.7,10.7
6,167.6,1.22,1.22
5,166.61,1.79,1.79
5,166.27,4.94,4.66
4,166.1,2.1,2.1
5,165.9,8.4,8.4
4,164.8,1.7,1.7
4,163.9,8.4,7.6
5,163.6,21.9,21.9
4,163.59,5.43,5.43
4,163.51,5.56,5.21
5,163.36,0.86,0.86
5,163.33,5.83,5.44
5,162.97,6.13,5.7
5,162.51,4.83,4.55
4,162.31,3.83,3.83
5,162.27,2.74,2.66
5,162,3,3
5,161.69,23.8,18.39
5,161.57,9.88,9.88
5,161.51,1.76,1.76
5,161.5,23.4,23.4
4,161.5,0.9,0.9
5,161.47,4.1,4.1
4,161,29,21
5,160.39,1.06,1.06
4,160.01,4.09,3.89
5,159.9,33.7,23.7
5,159.7,1.58,1.58
5,159.38,11.53,10.07
5,159,4,4
4,159,1.6,1.6
4,158.7,14.8,14.8
4,157.8,5.8,5.4
5,157.6,18.7,18.7
5,157.46,2.62,2.53
5,157.18,4.95,4.66
5,157,2,2
5,156.81,3.28,3.28
4,157,102,44
5,156.45,3.78,3.78
5,156.1,1.7,1.7
4,155.8,0.6,0.6
5,155.74,5.25,5.25
5,155.2,6.1,6.1
5,154.79,2.54,2.54
5,154.78,4.09,4.09
4,154.5,1.3,1.3
5,154.42,5.36,5.36
5,154.1,10.5,10.5
5,154,3,3
4,154,0.9,0.9
4,154,27.5,27.5
5,153.5,1,1
5,153.44,6.01,6.01
5,152.75,1.77,1.77
5,152.64,19.72,15.67
5,152.6,10.4,10.4
5,152.5,4.6,4.6
9,152.45,4.52,4.52
5,151.76,1.58,1.58
5,151.58,2.98,2.98
5,151.28,3.73,3.73
6,151.23,6.12,6.12
4,151.2,5.2,4.8
5,151.14,4.47,4.47
5,151.06,12.95,12.95
5,151,4,4
5,150.86,1.84,1.84
5,150.8,8,8
5,150.78,5.63,5.63
4,150.5,8.8,7.9
5,150.34,2.38,2.38
5,150,5,5
5,149.8,7.7,7.7
4,149.26,1.93,1.93
5,149.16,2.13,2.13
5,149.1,1.4,1.4
5,148.43,1.02,1.02
4,148.3,1.5,1.5
4,148.09,12.5,10.69
4,148,10,10
4,147.3,1.4,1.4
5,146.71,3.71,3.71
5,146.65,4.68,4.4
5,146.35,3.53,3.37
5,146,2.5,2.5
5,145.44,6.18,6.18
5,145.29,2.74,2.74
4,145.16,0.82,0.82
5,145.07,2.56,2.56
5,145,3,3
5,144.8,1.5,1.5
5,144.67,2.92,2.92
5,144.47,0.89,0.89
5,144.23,6.84,6.84
5,143.2,10.6,10.6
4,143.1,4.4,4.4
4,143,1.5,1.5
5,142.79,0.73,0.73
5,142.64,6.53,6.53
5,142.6,3.4,3.4
5,142,3,3
5,142,0.76,0.76
5,141.97,5.84,5.84
5,141.3,19.5,19.5
5,141.21,0.93,0.93
5,141.2,0.9,0.9
5,141.15,1.8,1.8
5,140.98,1.75,1.75
6,140.76,4.16,4.16
5,140.71,0.83,0.83
5,140.6,1.9,1.9
5,140.28,1.21,1.21
5,140.14,7.47,7.47
4,140,10,10
5,139.7,12.1,12.1
5,139.72,4.72,4.42
5,139.7,17,17
5,139.7,2.8,2.8
5,139.61,1.94,1.94
5,139.43,1.99,1.99
5,139.22,3.16,3.16
5,138.56,3.2,3.06
5,138.5,18.1,18.1
5,138.47,5.69,5.69
5,138.4,3.6,3.6
5,138.13,6.07,6.07
5,137.8,2.26,2.26
5,137.78,6.38,6.38
5,137.7,2.8,2.8
5,137.65,0.81,0.81
5,137.11,4.72,4.72
5,136.89,3.14,3.14
4,136.7,1.9,1.9
4,136.7,1.3,1.3
5,136.38,3.02,3.02
5,136.2,10.4,10.4
5,136.01,2.85,2.74
2,135.2,1000000,77.3
5,134.8,1.2,1.2
5,134.78,1.17,1.17
5,134.34,2.19,2.19
4,134.3,1.1,1.1
5,134.2,1.2,1.2
5,134.07,4.55,4.55
4,134,11,11
5,133.89,4.03,4.03
5,133.79,3.59,3.59
5,133.6,23.7,17.5
5,133.55,3.46,3.29
5,133.4,0.9,0.9
4,133.3,5.6,5.2
5,133.29,1.72,1.72
5,133.18,4.34,4.07
5,133.16,1.73,1.73
4,132.98,8.15,7.26
5,132.9,5.7,5.7
5,132.6,0.65,0.65
4,132.36,12.37,12.37
5,132.13,5.59,5.59
5,131.7,15.2,15.2
5,131.55,5.03,5.03
5,131.24,4.05,3.81
5,131.22,0.69,0.69
5,131.12,1.58,1.58
5,131.1,1.66,1.66
5,131.06,2.73,2.62
5,130.86,1.26,1.26
5,130.7,5,5
6,130.61,2.82,2.82
4,130.59,2.02,2.02
5,130.48,2.46,2.46
4,129.64,0.76,0.76
4,129.59,7.25,6.52
5,129.59,6.85,6.85
9,129,5,5
5,128.93,1.51,1.47
5,128.63,5.79,5.32
5,128.52,3.22,3.22
5,128.43,0.92,0.92
5,128.37,4.48,4.48
5,128.06,3.02,3.02
4,128,2.1,2.1
5,127.9,4.9,4.9
5,127.5,1.5,1.5
5,127.42,5.4,5.4
5,127.33,2,2
5,127.32,4.21,4.21
5,127.2,5.4,5.4
4,127.1,0.5,0.5
5,127,2,2
5,126.79,5.42,5.42
5,126.7,7,7
4,126.6,1.5,1.5
5,126.2,4.92,4.92
5,126.1,8.3,8.3
5,125.97,3.02,3.02
5,125.74,5.47,5.47
5,125.48,4.04,4.04
5,125.3,1.68,1.68
5,125.23,5.11,5.11
5,125.17,6.8,6.13
5,125,4,4
5,124.6,2.9,2.9
4,124.59,1.86,1.86
5,124.1,34.8,22.3
5,124.01,2.02,2.02
5,124,6.5,6.5
5,124,3,3
5,124,5,5
5,123.95,1.65,1.65
5,123.92,6.32,6.32
5,123.79,6.38,6.38
5,123.7,0.99,0.99
5,123.7,0.99,0.99
5,123.4,1.4,1.4
4,123.3,2.4,2.3
5,123.2,1.3,1.3
5,123.1,19.8,15
6,123,6,6
5,123,2,2
5,123,2,2
5,122.95,2.38,2.29
5,122.91,0.89,0.89
4,122.6,8.6,8.6
5,122.3,3.79,3.79
5,122.2,1.8,1.8
5,122.18,0.93,0.93
5,122.12,1.07,1.07
5,122,3,3
5,122,0.6,0.6
5,121.9,1.57,1.57
5,121.9,0.7,0.7
5,121.89,7.68,7.68
5,121.8,0.9,0.9
4,121.1,0.8,0.8
5,121.06,3.13,3.13
5,121.02,3.19,3.19
5,120.91,5.04,5.04
5,120.85,2.71,2.71
5,120.8,8.2,8.2
5,120.79,22.92,22.92
5,120.7,1.2,1.2
4,120.5,10.8,9.2
5,120,1,1
5,119.76,0.89,0.89
5,119.75,0.63,0.63
5,119.69,1.23,1.23
5,119.56,3.46,3.27
4,119.54,1.6,1.6
5,119.5,1.1,1.1
5,119.47,6.3,6.3
4,119.4,2,1.9
5,119.37,2.88,2.88
4,119.3,2.1,2
5,119.32,2.45,2.35
5,119.15,2.76,2.76
5,119,2,2
4,119,2,2
5,119,9.3,9.3
5,118.63,8.94,7.77
5,118.56,0.87,0.87
5,118.5,6.7,6.7
5,118.41,18.85,14.3
5,118.3,0.8,0.8
7,118.29,3.12,2.97
5,118.2,1.8,1.8
5,118.05,1.54,1.54
5,118,3,3
5,117.97,0.84,0.84
4,117.92,1.91,1.91
5,117.91,5,5
5,117.89,3.29,3.29
5,117.46,3.25,3.25
5,117.42,2.07,2.07
5,117.41,3.34,3.34
5,117.4,2.3,2.3
5,117.28,0.63,0.63
5,117.2,3.8,3.8
4,117.2,1.6,1.5
5,117.2,14.5,14.5
5,117.12,2.72,2.72
5,117.09,1.51,1.51
4,117,5,5
5,116.8,2.49,2.39
5,116.7,2.8,2.8
4,116.7,0.8,0.8
5,116.43,3.57,3.36
5,116.38,3.85,3.85
5,116.37,1.66,1.66
5,116.36,1.93,1.93
5,116.35,5.93,5.38
5,116.3,0.9,0.9
5,116.26,1,1
5,116.16,2.04,2.04
5,116.1,1.8,1.8
5,116.1,1,1
5,115.99,0.75,0.75
5,115.98,3.02,3.02
5,115.87,2.18,2.18
5,115.78,1.2,1.2
6,115.78,2.22,2.22
5,115.77,1.79,1.79
5,115.69,0.71,0.71
4,115.6,3.9,3.7
5,115.52,6.13,6.13
5,115.51,10.81,9.11
5,115.43,3.17,3.17
5,115.4,0.66,0.66
5,115.4,0.62,0.62
5,115.1,0.9,0.9
5,115,7.9,7.9
5,115,1.5,1.5
5,115,3,3
5,115,2,2
5,114.91,23.08,16.47
5,114.9,1.1,1.1
5,114.8,2.4,2.4
5,114.8,1.14,1.14
5,114.69,0.67,0.67
5,114.67,3.01,3.01
5,114.41,1.86,1.86
4,114.3,1.7,1.7
4,114.3,4.2,3.9
5,114.22,2.54,2.43
4,114.2,1.6,1.6
5,113.89,13.97,13.97
5,113.66,2.79,2.79
5,113.56,7.48,6.61
5,113.45,2.09,2.09
5,113.42,0.85,0.85
5,113.35,15.39,15.39
4,113.2,1.26,1.26
5,113.12,10.25,8.68
5,113.11,9.83,9.83
5,113.11,5.7,5.7
4,113,2,2
2,113,2.3,2.3
5,112.76,4.61,4.61
5,112.74,4.98,4.98
4,113,7,6
5,112.65,0.81,0.81
5,112.53,0.8,0.8
2,112.5,37.6,22.5
5,112.44,3.8,3.8
5,112.2,3.4,3.4
5,112.2,1.6,1.6
5,112.2,1.05,1.05
5,112.15,0.89,0.89
5,112.04,3.85,3.85
2,112,27.3,27.3
5,112,3,3
5,112,1,1
4,112,3.13,3.13
5,111.94,0.55,0.55
5,111.9,4.85,4.46
2,111.9,34.6,21.4
5,111.9,6.3,6.3
5,111.88,1.99,1.99
5,111.85,0.87,0.87
5,111.77,4.12,3.84
5,111.74,1.1,1.1
5,111.6,2.13,2.13
5,111.54,0.57,0.57
5,111.41,4.95,4.95
5,111.4,3,2.85
5,111.34,0.73,0.73
5,111.31,7.88,6.9
5,111.25,1.24,1.24
4,111.2,0.6,0.6
5,111.2,0.7,0.7
5,111.12,5.85,5.29
5,111,7,7
5,111,3.7,3.7
5,110.95,0.64,0.64
2,110.9,64.2,64.2
5,110.85,0.65,0.65
2,110.79,13.78,11.04
5,110.76,5.59,5.59
5,110.71,0.87,0.87
4,111,16,12
5,110.6,4,3.8
5,110.55,0.94,0.94
5,110.46,1.02,1.02
5,110.42,3.57,3.57
5,110.32,8.13,7.09
5,110.3,6.2,6.2
5,110.28,5.56,5.56
5,110.26,2.98,2.82
5,110.1,6.2,6.2
5,110.05,2.46,2.46
5,110,7.7,7.7
5,110,1.1,1.1
5,109.87,3,2.85
4,109.83,1.46,1.46
5,109.66,0.58,0.58
5,109.6,1.6,1.6
5,109.35,23.42,23.42
5,109.29,6.88,6.88
4,109.26,2.47,2.47
5,109.21,2.7,2.58
5,109.2,1.4,1.4
5,109.1,1.3,1.3
5,109.05,5.69,5.69
5,109.01,1.7,1.7
9,108.93,2.05,2.05
5,108.92,1.81,1.75
5,108.87,0.79,0.79
5,108.85,1.28,1.28
5,108.78,2.01,2.01
5,108.67,0.68,0.68
5,108.63,10.77,8.99
5,108.58,0.58,0.58
2,108.55,8.54,8.54
2,108.5,24.3,16.8
5,108.38,2.04,2.04
5,108.37,2.9,2.75
2,108.15,12.3,10.02
5,108.1,5.5,5.5
5,108,15.5,12
5,107.96,1.71,1.71
5,107.89,7.22,7.22
5,107.8,6.8,6.8
5,107.83,2.47,2.47
4,107.76,3.34,3.14
5,107.71,4.47,4.47
5,107.69,0.56,0.56
5,107.6,1.6,1.6
5,107.48,2.69,2.69
5,107.44,1.75,1.75
5,107.41,2.3,2.3
5,107.41,1.58,1.58
5,107.37,2.58,2.58
5,107.36,1.4,1.4
5,107.25,0.97,0.97
5,107.19,0.77,0.77
5,107.09,0.56,0.56
5,106.89,0.56,0.56
5,106.8,0.79,0.79
5,106.67,1.65,1.65
5,106.62,3.76,3.76
5,106.58,11.29,11.29
2,106.5,9.2,9.2
5,106.5,3.43,3.22
5,106.41,8.05,6.99
5,106.4,2.56,2.56
5,106.4,1.5,1.5
5,106.4,1.7,1.7
5,106.37,1.2,1.2
5,106.3,0.53,0.53
5,106.16,0.95,0.95
5,106,1.12,1.12
5,106,2,2
5,106,2,2
5,105.91,0.63,0.63
5,105.9,1.7,1.7
5,105.83,2.39,2.39
2,105.8,26.3,17.6
5,105.71,1.41,1.41
5,105.68,1.79,1.79
5,105.63,6.56,5.84
5,105.6,2,2
5,105.52,1.4,1.4
5,105.48,3.59,3.36
6,105.43,3.24,3.24
4,105.43,3.63,3.63
5,105.41,0.55,0.55
2,105.38,7.49,7.49
5,105.38,1.45,1.45
5,105.2,1.3,1.3
6,105.2,1.55,1.55
5,105.18,2.1,2.1
5,105.1,1.27,1.27
2,104.96,5.45,4.94
5,104.93,2.75,2.75
5,104.9,0.7,0.7
5,104.85,10.95,10.95
5,104.82,0.65,0.65
5,104.7,4.66,4.28
5,104.64,3.7,3.7
5,104.62,3.67,3.67
2,104.6,8.1,8.1
5,104.58,1.59,1.59
5,104.53,1.2,1.18
5,104.5,1.5,1.5
5,104.5,1.5,1.5
5,104.48,2.42,2.31
5,104.42,1.58,1.58
5,104.3,2.01,1.94
5,104.3,3.1,3.1
5,104.29,0.52,0.52
5,104.13,1.9,1.9
5,104.01,2.4,2.29
5,103.85,1.19,1.19
5,103.85,7.91,7.91
2,103.82,4.15,3.84
5,103.74,1.51,1.47
5,103.73,0.56,0.56
5,103.73,2.6,2.6
5,103.7,1.5,1.5
5,103.67,14.59,14.59
2,103.63,10.18,8.51
5,103.6,1.2,1.17
2,103.4,27.4,17.9
5,103.37,2.03,2.03
5,103.36,2.14,2.06
5,103.34,2.07,2.07
2,103.3,6.3,6.3
5,103.3,0.7,0.7
2,103.2,6,6
5,103.2,1.5,1.5
5,103.05,4.99,4.99
5,102.9,1.1,1.1
2,102.9,6.6,6.6
5,102.89,1.82,1.82
2,102.84,4.97,4.53
5,102.82,2.43,2.43
5,102.8,1,1
4,102.7,1,1
5,102.7,1.4,1.4
5,102.69,0.67,0.67
5,102.65,3.24,3.24
5,102.64,0.49,0.49
5,102.59,2.41,2.41
5,102.58,1.83,1.83
5,102.54,3.4,3.4
6,102.44,1.78,1.78
5,102.4,0.8,0.8
5,102.39,3.3,3.3
5,102.33,2.74,2.74
5,102.21,1.23,1.23
5,102.19,0.91,0.91
5,102.15,6.79,6
5,102.15,0.54,0.54
5,102.11,3.36,3.15
5,102.1,0.88,0.88
5,102.05,0.49,0.49
5,102,2,2
5,101.98,1.3,1.3
5,101.95,0.61,0.61
5,101.94,2.33,2.33
5,101.93,5.62,5.06
5,101.93,2.02,2.02
4,101.91,0.98,0.98
5,101.87,11.11,11.11
5,101.86,0.91,0.91
5,101.85,0.72,0.72
4,101.9,2.9,2.8
