Type,12C/13C
4,9455.1
4,6793
4,6227
4,4250
4,3993.46
9,3290.1
4,3101.02
4,2882.4
4,2807
4,2730
4,2525
4,2509.69
4,2377.19
4,2234.3
4,2224
4,1980.8
4,1877
4,1848
4,1721
4,1693.89
4,1621
4,1581
4,1549.52
4,1528
4,1510.1
4,1453.1
4,1413
4,1357.41
4,1299.53
4,1296.0
4,1272
4,1234
4,1229
4,1219
4,1205.79
4,1135
4,1128.8
4,1086
4,1038
4,1029.70
4,1026
4,999
4,959
4,946.59
4,900.28
4,880.6
9,844
4,823
4,765
5,747.67
4,729
4,723.90
4,705
4,700.96
4,693.38
4,681.6
4,678.5
4,677
4,648.5
4,634
4,621
4,617
4,614.03
4,607.48
4,604
4,603
4,591
4,586
4,579.7
4,578.92
4,577.2
4,570
4,560.30
4,556
4,552.0
4,534
4,532
4,508.6
4,506.35
4,506.1
4,498.41
4,489
4,479.84
4,478.06
4,475
4,468.6
4,456.80
4,455
4,454
4,448
4,444.61
4,443
4,442.8
4,437
4,434.57
4,430
4,409.18
4,408.89
4,408.5
4,396.9
4,395.41
4,391
9,389.58
4,389
9,386.61
4,381.37
4,381
4,381
4,379.16
4,378
4,372
9,368.49
4,365.6
4,364
5,361.4
4,357.28
4,357
4,348
4,345.1
4,344.6
4,342
4,336
4,330.8
4,329
4,328.1
4,325.5
4,324.30
4,321
4,320.11
4,319.6
4,317
4,317
4,316.6
4,316.27
4,315.1
4,314
4,310.6
4,308.36
4,306.3
4,304
4,303.3
4,301.9
4,301.6
4,296.32
5,295
4,294
4,291
4,289.9
4,287
4,287.4
4,286
4,286
4,277.8
4,277.17
4,276.7
4,275
4,274
4,270.42
4,270.2
5,267.2
9,265
4,265.11
4,264.48
5,258.22
5,255.42
4,254.44
4,250.2
4,243.6
4,243.4
4,241.5
4,241.06
4,236
4,234.75
4,234.7
9,233
4,232
4,230.59
4,230.4
5,229
4,228.5
4,227.45
4,227.22
4,226
4,224.28
4,223
4,220.91
4,219.60
4,216.59
4,216.2
4,216
