Type,carbon_isotopes,silicon_isotopes
C,1.30,313
AB,1.42,-59
AB,1.854,8
AB,1.88,20
AB,1.910,9
AB,1.94,9
AB,1.96,21
AB,2.04,-11
AB,2.07,20
AB,2.098,-37
AB,2.15,85
AB,2.192,4
Y,2.2,124
AB,2.22,17
AB,2.22,0
AB,2.3,-44.3
N,2.29,57
AB,2.31,2
AB,2.328,37
AB,2.34,-3
AB,2.35,64
AB,2.35,79
AB,2.36,-28
AB,2.37,-32.51
AB,2.37,23
AB,2.41,-41
AB,2.45,45
AB,2.46,-20
AB,2.5,49.0
AB,2.51,-49
AB,2.53,10
AB,2.57,6
AB,2.57,56
AB,2.61,116
AB,2.62,-22
AB,2.623,-39
AB,2.66,64
AB,2.66,65
AB,2.7,129.7
AB,2.69,59
AB,2.69,-45
AB,2.69,116
AB,2.70,-45
AB,2.71,23
AB,2.71,37
AB,2.71,-33
AB,2.74,18
AB,2.77,-36
AB,2.77,124
AB,2.78,82
AB,2.78,37
AB,2.8,-7.9
AB,2.79,-21
AB,2.83,-21
AB,2.84,14
AB,2.847,-20
AB,2.86,79
AB,2.87,64
AB,2.88,17
AB,2.89,12.6
AB,2.89,97
AB,2.89,-48
AB,2.90,-4
AB,2.9,74.6
AB,2.92,49
AB,2.92,-2
AB,2.92,31
AB,2.933,49
AB,2.95,87
AB,2.97,85
AB,2.97,86
AB,2.97,-3
AB,2.98,77
AB,2.98,-9
AB,2.980,-5.0
AB,3,0
AB,3.0,7.4
AB,3.0,39.2
AB,3.00,4
AB,3.0,-36.6
AB,3.01,53
AB,3.02,-10.4
AB,3.02,-15.9
AB,3.04,6
AB,3.04,-8
AB,3.05,-5
AB,3.05,-6
AB,3.06,-11
AB,3.08,-22
AB,3.08,84
AB,3.1,41
AB,3.11,21
AB,3.12,21
AB,3.14,-6
AB,3.15,-22
AB,3.15,-7
AB,3.16,69
AB,3.17,-9
AB,3.17,45
AB,3.178,45
AB,3.18,22
AB,3.19,-48
AB,3.2,-19
AB,3.2,-3
AB,3.20,6
AB,3.2,179
AB,3.21,88
AB,3.22,41
AB,3.22,20
AB,3.23,-3
AB,3.23,58
AB,3.23,-26
AB,3.23,59
AB,3.24,-3
AB,3.25,7
AB,3.25,-7
AB,3.26,-20
AB,3.26,13
AB,3.27,-25
AB,3.27,-23
AB,3.3,-65.6
AB,3.31,30
AB,3.3,65.4
AB,3.36,-10
AB,3.37,-16
AB,3.37,38
AB,3.37,-14
AB,3.38,32
AB,3.39,-13.7
AB,3.4,-97
AB,3.4,-20
AB,3.4,-23.7
AB,3.40,-42
AB,3.41,-5
AB,3.42,-14
AB,3.42,-4
AB,3.42,-32
AB,3.4,-5.8
AB,3.45,80
AB,3.45,-20
AB,3.46,-9
AB,3.46,13
AB,3.46,29
AB,3.46,32
AB,3.47,-7
AB,3.48,26
AB,3.49,-26
AB,3.49,-8
AB,3.5,-35
AB,3.5,-9
AB,3.5,104.5
AB,3.50,-11
AB,3.53,52
AB,3.53,-28
AB,3.53,42
AB,3.55,33
N,3.56,-57
AB,3.57,-2
AB,3.57,-20
AB,3.573,34
AB,3.59,-35
AB,3.59,-4
AB,3.59,54
AB,3.6,149.0
AB,3.60,136
AB,3.65,49
AB,3.66,-27
AB,3.69,13
AB,3.72,27
AB,3.72,58
AB,3.73,-63
AB,3.727,107
AB,3.73,110.96
AB,3.73,-20
AB,3.74,51
AB,3.74,109
AB,3.75,47
AB,3.79,37
AB,3.80,77
AB,3.8,42
AB,3.80,-3
AB,3.83,58
AB,3.83,116
AB,3.84,48
AB,3.87,1
AB,3.9,-6.9
AB,3.886,6
AB,3.89,67
AB,3.92,-25
AB,3.95,164
AB,3.96,61
AB,3.98,-22
AB,4.0,5
AB,4.00,94
AB,4.01,4
N,4.02,-438
AB,4.04,8
AB,4.04,48
AB,4.04,25
AB,4.06,66
AB,4.08,86
AB,4.10,58
AB,4.12,106
AB,4.13,196
AB,4.14,-30
N,4.18,-377
AB,4.18,32
AB,4.19,73
AB,4.19,84
AB,4.19,-21
AB,4.20,-6
AB,4.20,79
Z,4.21,-19
AB,4.22,66
AB,4.243,81
AB,4.25,-27
AB,4.25,1
AB,4.27,113
AB,4.27,36
AB,4.27,167
AB,4.27,69
AB,4.28,-22
AB,4.28,67
AB,4.28,132
AB,4.28,-28
AB,4.298,28
AB,4.3,43
AB,4.3,93.5
AB,4.31,-12
AB,4.33,95
AB,4.35,187
AB,4.35,-31
AB,4.36,-22
AB,4.37,-20
AB,4.37,92
AB,4.4,42.6
AB,4.38,156
AB,4.40,-57
AB,4.4,58
AB,4.4,96
AB,4.4,156
U,4.4,380
AB,4.41,-13
AB,4.42,-3
AB,4.43,18.3
AB,4.44,68
AB,4.44,152
AB,4.45,21
AB,4.45,-48
AB,4.456,134
AB,4.46,62
AB,4.47,-35
AB,4.49,68
AB,4.50,22
AB,4.50,101.7
AB,4.5,36
AB,4.51,39
AB,4.52,176
AB,4.52,24
AB,4.52,46
AB,4.53,34
AB,4.54,35
AB,4.54,15
AB,4.55,9
AB,4.55,-33
AB,4.56,66
AB,4.56,33
AB,4.57,48
AB,4.58,71
AB,4.59,-38
AB,4.593,-4
AB,4.59,-13
AB,4.6,-17.0
AB,4.61,161
AB,4.62,17
AB,4.63,123
AB,4.64,-24
AB,4.6,178.0
AB,4.65,55
AB,4.655,17
AB,4.66,62
AB,4.66,138.8
AB,4.69,154
AB,4.69,56
AB,4.69,25
AB,4.695,-23
AB,4.7,28
AB,4.7,58
AB,4.7,139
AB,4.72,52
AB,4.72,8
AB,4.72,138
AB,4.72,158
AB,4.73,187
N,4.75,10
AB,4.75,45
AB,4.76,78
AB,4.76,151
AB,4.766,31
AB,4.77,23
AB,4.770,70.6
AB,4.77,40
AB,4.79,53.9
AB,4.79,61
AB,4.80,62
AB,4.80,136
AB,4.80,137
AB,4.81,153
AB,4.81,14
AB,4.825,-19
AB,4.83,55
AB,4.83,149
AB,4.83,32
AB,4.84,44
AB,4.86,59
AB,4.87,15
AB,4.87,45
AB,4.87,61
AB,4.87,91
AB,4.87,77
AB,4.88,98
AB,4.88,58
AB,4.9,48
AB,4.92,46
AB,4.93,17
AB,4.98,51
AB,5.00,52
AB,5.0,128.0
AB,5.00,9
AB,5.03,34
AB,5.03,93
AB,5.04,97
AB,5.05,9
AB,5.06,13
AB,5.06,-30
AB,5.06,4
AB,5.07,86
AB,5.08,60
AB,5.085,-21
AB,5.09,-4
AB,5.09,-10
AB,5.09,9
AB,5.10,68
N,5.1,55
AB,5.10,91
AB,5.11,0
AB,5.14,175
AB,5.15,48
AB,5.15,72
AB,5.15,55
AB,5.16,41
AB,5.16,54
AB,5.16,120
AB,5.17,33
AB,5.18,14
AB,5.2,52
AB,5.20,128
AB,5.22,81
AB,5.23,32
AB,5.24,-12
N,5.25,22
AB,5.25,-26
AB,5.27,60
AB,5.274,13
AB,5.29,-27.7
AB,5.29,100
AB,5.3,47
AB,5.31,64
AB,5.313,60
AB,5.32,48
AB,5.32,27
AB,5.33,58
AB,5.35,55
AB,5.364,22
AB,5.37,63
AB,5.4,64.8
AB,5.4,34
AB,5.40,32
AB,5.40,-29
AB,5.42,56
AB,5.42,25
AB,5.42,124
AB,5.42,98
AB,5.45,18
AB,5.47,79
AB,5.49,9
AB,5.492,-5
AB,5.50,198
AB,5.50,25
AB,5.51,31.9
AB,5.52,49
AB,5.55,-20
AB,5.55,118
AB,5.57,50
AB,5.59,51
N,5.59,-166
AB,5.600,-31
AB,5.600,-3
AB,5.6,3
AB,5.61,9
AB,5.62,54
AB,5.63,91
AB,5.64,137
AB,5.68,7
AB,5.69,79
AB,5.70,-1
AB,5.709,2
AB,5.73,59
AB,5.73,-16
AB,5.74,12
AB,5.75,0
AB,5.75,86
AB,5.76,39
AB,5.80,47
AB,5.80,27
AB,5.8,17
AB,5.80,43
AB,5.80,-28
AB,5.81,-5.64
AB,5.83,4
AB,5.832,-28
AB,5.84,-17
AB,5.87,0
AB,5.88,78
AB,5.9,13.0
AB,5.89,138
AB,5.89,-45
AB,5.90,114
AB,5.92,0
AB,5.93,90
AB,5.97,1
AB,5.97,-42
AB,5.98,-70
AB,6.00,-4.2
AB,6.00,-14
AB,6.01,31
AB,6.02,35
AB,6.031,10
AB,6.03,2
AB,6.052,37
