Type,carbon_12_13,nitrogen_14_15,silicon_29_28,silicon_30_28
X,74.3,207.4,-685,-520
X,1581,116,-684,-490
X,234.75,187.2,-683,-501
X,455,140,-662,-770
X,823,44,-658,-234
X,140,97,-653,-446
X,199.3,68.4,-610,-360
X,136.7,116.3,-606,-195
X,145.16,128.5,-601,-528
X,223,102,-600,-459
X,169.6,154,-598,-523
X,1693.89,63.2,-588,-605
X,2807,83,-578,-468
X,9455.1,28,-569,-647
X,216.59,111.72,-556.53,-317.31
X,2377.19,18.5,-555,-694
X,148,271,-552,-438
X,578.92,148.16,-551,-472
X,1848,6.9,-540,-308
X,1234,21,-534,-510
X,121.1,103,-531,-659
X,3101.02,28.2,-521,-467
X,378,54,-521,-628
N,6.48,15.77,-489,-491
X,1510.1,45.3,-480,-363
X,1621,13,-476,-519
X,552.0,58,-473.3,-501.9
X,95,52,-469,-581
X,304,106,-459,-454
X,1272,96.5,-456,-496
X,317,62.8,-455,-705
X,391,39,-452,-387
X,344.6,145.8,-451,-347
X,534,56.8,-451,-719
X,1528,46,-450,-348
X,43.9,20.5,-448,-535
X,15.60,34.0,-447,-301
X,6227,61,-441,-430
N,4.02,11.61,-438,510
X,1026,88,-436,-494
X,111,125,-433,-500
X,448,69.0,-430,-572
X,115.6,45.2,-428,-617
X,149.26,61.98,-428,-456
X,40.4,55.3,-420,-480
X,26.1,29.2,-410,-568
X,216,65.1,-406,-658
X,1721,56.9,-404,-508
X,586,57.0,-402,-552
X,77,102,-391,-510
X,81.84,69.64,-387,-379
X,693.38,124.4,-382,-553
X,1549.52,60,-381,-589
X,99.6,182,-381,-407
N,4.18,30.1,-377,143
X,1135,18.1,-376,-585
X,1128.8,38.3,-375,-536
X,880.6,47.2,-374,-448
X,765,68,-370,-493
X,113,72,-367,-480
X,173.3,67.7,-366,-440
X,2882.4,21,-366,-705
X,151.2,56.7,-365,-491
X,2525,12.6,-363,-529
X,43,25,-361,-477
X,50.20,107.1,-360,-359
X,381,54.2,-355,-585
X,1413,46.9,-353,-496
X,2224,31.6,-350,-691
X,39,24.9,-350,-439
X,1219,54,-349,-427
X,677,59.9,-348,-594
X,1229,58.7,-348,-504
X,84.56,90.12,-346.49,-496.80
X,729,40.6,-346,-589
X,101.0,45,-346,-274
X,556,80,-345,-549
X,2234.3,36.4,-345,-668
X,21.4,49.2,-343,-333
X,1086,51.5,-339,-493
X,276.7,58.9,-338,-587
X,430,21,-337,-511
X,2509.69,38.3,-337,-582
X,389,158,-336,-491
X,1299.53,30.02,-335,-647.14
X,1357.41,45.8,-334.5,-461.88
X,185,62,-332,-467
X,570,81.4,-332,-463
X,348,75.6,-332,-467
X,119.3,66.1,-330,-467
X,147.3,56.4,-329,-490
X,342,54,-329,-392
X,92.4,71.1,-329,-384
X,230.4,47.1,-328,-458
X,634,63,-328,-512
X,678.5,58.7,-328,-552
X,294,43,-328,-522
X,317,111.0,-325,-468
X,170,116,-324,-429
X,617,51.2,-323,-484
X,621,70.2,-320,-445
X,316.6,73.2,-319,-593
X,191,71,-318,-517
X,1038,45.4,-314,-469
X,365.6,64.4,-314,-520
X,489,70.2,-314,-461
X,31.0,48.1,-314,-308
X,959,71,-313,-498
X,329,66,-312,-450
X,468.6,76.4,-312,-441
X,232,61,-311,-388
X,102.7,88.8,-310,-419
X,306.3,76.2,-309,-565
X,150.5,54.6,-309,-504
X,999,47.2,-307,-599
X,648.5,78.2,-306,-479
X,1453.1,43.7,-303,-438
X,161,62,-302,-461
X,113,164,-302,-248
X,243.4,59.8,-302,-471
X,603,25.8,-301,-433
X,442.8,32.1,-299,-416
X,185.7,63.6,-295,-432
X,396.9,53.8,-295,-456
X,454,49.3,-295,-458
X,614.03,32.03,-293.8,-411.49
X,364,82.3,-293,-430
X,475,62,-292,-501
X,190.2,27.56,-292.1,-448.3
X,506.1,65.1,-291,-417
X,328.1,87.8,-287,-481
X,508.6,62.6,-287,-404
X,6793,27,-286,-630
X,96,70,-286,-401
X,357,81,-284,-443
X,182.9,128.7,-283,-407
X,157.8,69.3,-282,-413
X,76.9,144.4,-281,-240
X,166.1,77.2,-277,-406
X,289.9,66.8,-277,-404
X,187.4,91.8,-276,-379
X,381,82,-276,-401
X,532,62,-275,-431
X,315.1,54.7,-275,-473
X,189.6,56.1,-274,-421
X,372,62,-274,-381
X,357.28,111.4,-273,-423
X,310.6,44.8,-272,-399
M,75.46,356.07,-269,455
X,191.7,64.3,-267,-498
X,301.6,99,-267,-417
X,195,90.2,-267,-373
X,177,138,-264,-389
X,195.3,50.0,-263,-407
X,210.33,78.1,-262.59,-377.79
X,157,34,-260,-465
X,164.8,27,-257,-392
X,381.37,84.5,-256.86,-363.14
X,234.7,63.0,-249,-375
X,314,377,-249,-504
X,168,159,-249,-388
X,705,42.7,-248,-398
X,159,72.3,-247,-373
X,443,49,-247,-367
X,136.7,87.4,-246,-363
X,277.8,55.7,-246,-403
X,254.44,68.73,-245,-412
X,274,66.9,-244,-381
X,134,70,-239,-362
X,17.8,58.0,-237,-336
AB,7.02,1775.6,-235,-64
X,49.0,71.1,-235,-309
X,133.3,44.6,-231,-361
X,134.3,37.8,-228,-410
X,203.9,63.5,-224,-400
