Type,carbon_12_13,nitrogen_14_15
AB,1.57,59
AB,1.88,67
AB,1.94,78
AB,1.96,80
AB,2.15,118
Y,2.2,35.22
AB,2.22,79
AB,2.31,118
AB,2.35,115
AB,2.35,240
AB,2.36,231
AB,2.37,111.03
AB,2.37,138
AB,2.45,39
AB,2.57,90
AB,2.57,459.04
AB,2.66,57
AB,2.66,79
AB,2.71,286
AB,2.71,305
AB,2.74,347
AB,2.8,58
AB,2.83,132
AB,2.86,543
AB,2.87,134
AB,2.90,97
AB,2.92,109
AB,2.92,107
AB,2.95,591
AB,2.97,463
AB,2.97,577
AB,2.98,340
AB,2.98,96
AB,3,143
AB,3.02,116.2
AB,3.02,101
AB,3.04,99
AB,3.05,265
AB,3.1,89
AB,3.08,464
AB,3.11,296
AB,3.15,109
AB,3.17,99
AB,3.20,58
AB,3.21,114
AB,3.23,396
AB,3.24,178
AB,3.2,54
AB,3.25,132
AB,3.26,56
AB,3.26,97
AB,3.27,374
AB,3.27,384
AB,3.30,793
AB,3.3,65
AB,3.3,225
AB,3.4,317
AB,3.41,114
AB,3.42,382
AB,3.46,157
AB,3.46,186
AB,3.46,270.95
AB,3.46,422
AB,3.48,1422
AB,3.5,275.12
AB,3.5,423
AB,3.55,219
AB,3.573,62.6
AB,3.59,99
AB,3.59,2798
AB,3.60,1540
AB,3.65,796
AB,3.72,259.39
AB,3.73,161.66
AB,3.73,514.17
AB,3.7,163
AB,3.74,206
AB,3.83,729
AB,3.87,141
AB,4.0,301
AB,4.0,292
AB,4.0,154
N,4.02,11.61
AB,4.04,136
AB,4.1,331
AB,4.08,432.62
AB,4.10,991
AB,4.1,5081
N,4.18,30.1
AB,4.18,294
AB,4.25,122
AB,4.25,4680
AB,4.37,176
AB,4.38,308
U,4.4,305
AB,4.4,308
AB,4.42,1567
AB,4.43,158
AB,4.47,143
AB,4.49,326
AB,4.50,1689
N,4.5,7
AB,4.51,179.45
AB,4.54,3602
AB,4.55,151
AB,4.56,3301
AB,4.57,2491
AB,4.62,4127
AB,4.66,187.18
AB,4.66,3279
AB,4.7,407
AB,4.69,2516
AB,4.69,2950
AB,4.7,1554
AB,4.75,2672
AB,4.770,431
AB,4.77,3140
AB,4.79,68
AB,4.80,3612
AB,4.81,282
AB,4.83,6188
AB,4.86,5838
AB,4.87,81
AB,4.87,110
AB,4.87,1371
AB,4.87,2742
AB,4.9,12000
AB,4.92,2335
AB,4.98,529
AB,5.03,2334
AB,5.1,1580
N,5.1,19.7
AB,5.11,1031.52
AB,5.15,2928
AB,5.16,1755
AB,5.2,3279
AB,5.17,119
AB,5.17,794
AB,5.2,2725
AB,5.29,397
AB,5.29,475.21
AB,5.33,485.76
AB,5.37,2272
AB,5.4,381
AB,5.42,3989
AB,5.45,243
AB,5.5,2986
AB,5.51,1230
AB,5.55,329
AB,5.57,4712
AB,5.59,332.76
N,5.59,6.82
AB,5.69,281
AB,5.7,251
AB,5.73,2014
AB,5.75,259
AB,5.76,1135
AB,5.80,4612
AB,5.80,711
AB,5.81,851.92
AB,5.83,649.5
AB,5.87,5741
AB,5.89,243.32
AB,5.97,313
AB,5.97,500.83
AB,6.02,299.37
AB,6.052,3546
AB,6.06,819
AB,6.07,2169
AB,6.08,43
AB,6.10,475
AB,6.13,971
AB,6.15,842
AB,6.15,1587
AB,6.2,490.5
AB,6.22,175.33
AB,6.23,819
AB,6.24,360
AB,6.24,632
AB,6.26,441
AB,6.3,1552
AB,6.32,279
AB,6.33,473
AB,6.43,3061
AB,6.47,272
N,6.48,15.77
AB,6.53,3677
AB,6.58,3506
AB,6.61,1577
AB,6.66,1452
N,6.8,5.22
AB,6.80,6623
AB,6.81,4039
AB,6.82,462
AB,6.8,1394
AB,6.86,1919
AB,6.87,290
AB,6.89,614.25
AB,6.89,4487
AB,6.94,3205
AB,7.02,1775.6
AB,7.03,6669
AB,7.04,9819
AB,7.07,840
AB,7.2,6904
AB,7.2,3081
AB,7.3,8233
AB,7.27,2707
AB,7.37,516.87
AB,7.37,1696.55
AB,7.4,283
AB,7.39,756
AB,7.40,75
AB,7.55,662
AB,7.74,446
AB,7.75,881
AB,7.76,776
AB,7.77,299
AB,7.8,1293
AB,7.87,420
AB,7.92,1367
AB,7.93,1751
AB,8.2,375
AB,8.27,724
AB,8.31,2081
AB,8.31,2171
N,8.4,13.7
AB,8.4,8309
AB,8.6,1501
AB,8.6,254
AB,8.65,2654
AB,8.68,1300
AB,8.70,2468
AB,8.74,917
AB,8.76,1940
AB,8.78,4514
AB,8.80,1471
AB,8.820,1792
AB,8.82,10107
AB,8.89,4303
AB,9.0,1364
AB,9.01,4286
AB,9.0,1511
AB,9.03,1364
AB,9.0,649
AB,9.06,48
AB,9.3,1681
AB,9.3,321
AB,9.3,608
AB,9.4,3285
AB,9.40,2687
AB,9.69,267
AB,9.71,1101
AB,9.74,330
AB,9.80,249
AB,9.9,502
AB,9.9,930
M,10.12,2955
AB,10.2,698
AB,10.2,3897
M,10.29,1416
AB,10.3,154
Z,11,6461
AB,11.1,516
M,11.12,996.66
M,11.1,546
AB,11.27,2143.63
AB,11.4,648
M,12.3,3676
Z,13.18,1264
M,13.4,4166
M,14.01,747
M,14.5,1509
M,14.61,504
M,14.8,1251
M,14.96,611.96
M,15.1,5009
M,15.2,200
M,15.4,1224
X,15.60,34.0
M,16.2,337
M,16.6,14318
M,16.7,1159
M,16.7,1658
M,16.93,774.58
M,16.9,1943
M,17.03,651.69
M,17.2,870
M,17.2,1347
M,17.19,897.65
M,17.6,190
M,17.7,912.13
X,17.8,58.0
M,18.1,360
M,18.5,923
U,18.70,10007.55
M,18.96,445
M,18.98,458.02
M,19.20,2097
M,19.26,7143
M,19.3,434
M,19.3,370
M,19.43,1736
M,19.52,410
M,19.57,1951.22
M,19.87,401
M,20.0,3297
AB,20,91
M,20.1,2807
M,20.09,500
M,20.2,5939
M,20.3,403.1
M,20.6,226
M,20.6,4557
M,21.0,9301
M,21.1,1837
M,21.2,608
X,21.4,49.2
M,21.7,5370
M,21.8,718
M,22.03,1007.1
M,22.16,4589
M,22.44,918
M,22.5,229
M,22.56,453.48
M,22.8,1131
Z,23,1347
M,23.2,2636
M,23.2,2437
M,23.4,2573
M,23.5,944
M,23.6,3053
Z,23.58,2041
M,23.71,733
M,23.8,1644
M,23.8,933
