Type,carbon_isotopes,silicon_29_28,silicon_30_28
C,1.30,313,377
AB,1.42,-59,19
AB,1.854,8,56
AB,1.88,20,33
AB,1.910,9,103
AB,1.94,9,31
AB,1.96,21,31
AB,2.04,-11,17
AB,2.07,20,32
AB,2.098,-37,-39
AB,2.15,85,71
AB,2.192,4,55
Y,2.2,124,191
AB,2.22,17,39
AB,2.22,0,40
AB,2.3,-44.3,49.4
N,2.29,57,164
AB,2.31,2,28
AB,2.328,37,89
AB,2.34,-3,5
AB,2.35,64,29
AB,2.35,79,75
AB,2.36,-28,7
AB,2.37,-32.51,-19.50
AB,2.37,23,29
AB,2.41,-41,-5
AB,2.45,45,47
AB,2.46,-20,-3
AB,2.5,49.0,70.4
AB,2.51,-49,-43
AB,2.53,10,2
AB,2.57,6,15
AB,2.57,56,81
AB,2.61,116,119
AB,2.62,-22,-8
AB,2.623,-39,22
AB,2.66,65,68
AB,2.66,64,78
AB,2.7,129.7,98.5
AB,2.69,59,21
AB,2.69,-45,-10
AB,2.69,116,72
AB,2.70,-45,-10
AB,2.71,23,42
AB,2.71,37,48
AB,2.71,-33,-21
AB,2.74,18,9
AB,2.77,-36,-4
AB,2.77,124,97
AB,2.78,82,52
AB,2.78,37,47
AB,2.8,-7.9,-15.0
AB,2.79,-21,-12
AB,2.83,-21,-7
AB,2.84,14,19
AB,2.847,-20,50
AB,2.86,79,75
AB,2.87,64,38
AB,2.88,17,20
AB,2.89,12.6,15.1
AB,2.89,97,67
AB,2.89,-48,-4
AB,2.90,-4,14
AB,2.9,74.6,64.0
AB,2.92,49,15
AB,2.92,-2,12
AB,2.92,31,36
AB,2.933,49,23
AB,2.95,87,78
AB,2.97,85,55
AB,2.97,86,62
AB,2.97,-3,5
AB,2.98,77,57
AB,2.98,-9,2
AB,2.980,-5.0,9.4
AB,3,0,20
AB,3.0,7.4,22.3
AB,3.0,39.2,5.9
AB,3.00,4,52
AB,3.0,-36.6,-3.0
AB,3.01,53,70
AB,3.02,-10.4,11.9
AB,3.02,-15.9,-9.7
AB,3.04,6,6
AB,3.04,-8,-15
AB,3.05,-5,4
AB,3.05,-6,0
AB,3.06,-11,11
AB,3.08,-22,0
AB,3.08,84,72
AB,3.1,41,110
AB,3.11,21,33
AB,3.12,21,47
AB,3.14,-6,10
AB,3.15,-22,-13
AB,3.15,-7,19
AB,3.16,69,95
AB,3.17,-9,-2
AB,3.17,45,59
AB,3.178,45,21
AB,3.18,22,40
AB,3.19,-48,-41
AB,3.2,-19,2
AB,3.2,-3,16
AB,3.20,6,22
AB,3.2,179,120
AB,3.21,88,86
AB,3.22,41,36
AB,3.22,20,47
AB,3.23,-3,27
AB,3.23,58,41
AB,3.23,-26,-4
AB,3.23,59,67
AB,3.24,-3,8
AB,3.25,7,42
AB,3.25,-7,20
AB,3.26,-20,-16
AB,3.26,13,54
AB,3.27,-23,-4
AB,3.27,-25,-3
AB,3.3,-65.6,-34.3
AB,3.31,30,24
AB,3.3,65.4,39.1
AB,3.36,-10,8
AB,3.37,-16,27
AB,3.37,38,13
AB,3.37,-14,6
AB,3.38,32,42
AB,3.39,-13.7,2.3
AB,3.4,-97,-72
AB,3.4,-20,24
AB,3.4,-23.7,18.3
AB,3.40,-42,-14
AB,3.41,-5,10
AB,3.42,-14,17
AB,3.42,-4,-52
AB,3.42,-32,-27
AB,3.4,-5.8,-5.8
AB,3.45,80,88
AB,3.45,-20,-18
AB,3.46,-9,4
AB,3.46,13,11
AB,3.46,32,19
AB,3.46,29,59
AB,3.47,-7,48
AB,3.48,26,28
AB,3.49,-26,-4
AB,3.49,-8,-2
AB,3.5,-35,-16
AB,3.5,-9,4
AB,3.5,104.5,90.4
AB,3.50,-11,36
AB,3.53,52,40
AB,3.53,-28,-9
AB,3.53,42,40
AB,3.55,33,28
N,3.56,-57,131
AB,3.57,-2,23
AB,3.57,-20,-15
AB,3.573,34,60
AB,3.59,-35,-7
AB,3.59,-4,-4
AB,3.59,54,54
AB,3.6,149.0,127.7
AB,3.60,136,80
AB,3.65,49,31
AB,3.66,-27,-12
AB,3.69,13,38
AB,3.72,27,-9
AB,3.72,58,31
AB,3.73,-63,-66
AB,3.727,107,63
AB,3.73,110.96,70.54
AB,3.73,-20,13
AB,3.74,51,68
AB,3.74,109,80
AB,3.75,47,33
AB,3.79,37,45
AB,3.80,77,94
AB,3.8,42,32
AB,3.80,-3,21
AB,3.83,58,59
AB,3.83,116,90
AB,3.84,48,62
AB,3.87,1,13
AB,3.9,-6.9,-4.1
AB,3.886,6,4
AB,3.89,67,59
AB,3.92,-25,-5
AB,3.95,164,113
AB,3.96,61,55
AB,3.98,-22,11
AB,4.0,5,16
AB,4.00,94,37
AB,4.01,4,46
N,4.02,-438,510
AB,4.04,8,31
AB,4.04,48,32
AB,4.04,25,29
AB,4.06,66,49
AB,4.08,86,106
AB,4.10,58,47
AB,4.12,106,71
AB,4.13,196,147
AB,4.14,-30,-12
AB,4.18,32,56
N,4.18,-377,143
AB,4.19,84,57
AB,4.19,73,78
AB,4.19,-21,15
AB,4.20,-6,15
AB,4.20,79,53
Z,4.21,-19,100
AB,4.22,66,44
AB,4.243,81,98
