Type,carbon_12_13,nitrogen_14_15,aluminum_26_27,silicon_29_28,silicon_30_28
X,1581,116,0.0095,-684,-490
X,234.75,187.2,0.3327,-683,-501
X,140,97,0.017,-653,-446
X,223,102,0.114,-600,-459
X,1693.89,63.2,0.2364,-588,-605
X,216.59,111.72,0.0000303,-556.53,-317.31
X,2377.19,18.5,0.4357,-555,-694
X,578.92,148.16,0.089,-551,-472
X,3101.02,28.2,0.437,-521,-467
N,6.48,15.77,0.39,-489,-491
X,552.0,58,0.20490,-473.3,-501.9
X,304,106,0.23,-459,-454
X,391,39,0.167,-452,-387
X,1528,46,0.066,-450,-348
X,43.9,20.5,0.106,-448,-535
N,4.02,11.61,0.27,-438,510
X,1026,88,0.239,-436,-494
X,448,69.0,0.134,-430,-572
X,149.26,61.98,0.302,-428,-456
X,26.1,29.2,0.173,-410,-568
X,1721,56.9,0.190,-404,-508
X,77,102,0.0063,-391,-510
X,81.84,69.64,0.380083104,-387,-379
X,693.38,124.4,0.1192,-382,-553
X,1549.52,60,0.4713,-381,-589
X,1135,18.1,0.20,-376,-585
X,765,68,0.311,-370,-493
X,151.2,56.7,0.066,-365,-491
X,2525,12.6,0.61,-363,-529
X,50.20,107.1,0.0532,-360,-359
X,2224,31.6,0.264,-350,-691
X,39,24.9,0.257,-350,-439
X,677,59.9,0.158,-348,-594
X,729,40.6,0.284,-346,-589
X,2509.69,38.3,0.2106,-337,-582
X,1299.53,30.02,0.348,-335,-647.14
X,1357.41,45.8,0.0416,-334.5,-461.88
X,348,75.6,0.142,-332,-467
X,119.3,66.1,0.162,-330,-467
X,92.4,71.1,0.150,-329,-384
X,617,51.2,0.340,-323,-484
X,191,71,0.10,-318,-517
X,1038,45.4,0.154,-314,-469
X,489,70.2,0.193,-314,-461
X,31.0,48.1,0.198,-314,-308
X,102.7,88.8,0.010,-310,-419
X,150.5,54.6,0.257,-309,-504
X,999,47.2,0.249,-307,-599
X,603,25.8,0.023,-301,-433
X,454,49.3,0.036,-295,-458
X,614.03,32.03,0.217,-293.8,-411.49
X,364,82.3,0.253,-293,-430
X,190.2,27.56,0.59820,-292.1,-448.3
X,157.8,69.3,0.179,-282,-413
X,76.9,144.4,0.062,-281,-240
X,166.1,77.2,0.162,-277,-406
X,357.28,111.4,0.0299,-273,-423
X,177,138,0.028,-264,-389
X,210.33,78.1,0.129,-262.59,-377.79
X,381.37,84.5,0.131,-256.86,-363.14
X,234.7,63.0,0.057,-249,-375
X,168,159,0.23,-249,-388
X,254.44,68.73,0.354,-245,-412
X,134,70,0.210,-239,-362
AB,7.02,1775.6,0.003153906,-235,-64
X,49.0,71.1,0.155,-235,-309
X,209.2,66.2,0.257,-208,-277
X,129.64,72.7,0.1719,-204,-378
X,395.41,14.25,0.241,-202,-410
X,78.3,112.3,0.070,-198,-353
X,100.76,62.3,0.4227,-194,-330
X,120.5,46.0,0.048,-181,-167
X,124.59,83.5,0.121,-180.32,-306.64
X,197.92,41.74,0.167,-160.85,-261.36
X,75.35,68.8,0.0662,-155,-273
X,82.2,71.9,0.141,-151,-255
X,114.3,59.4,0.154,-148,-244
X,84.3,74.6,0.171,-148,-249
Z,41.31,587.4,0.00071979,-141,29
X,26.71,36.3,0.2693,-137,-161
X,74.7,85.7,0.136,-130,-205
X,35.6,34.8,0.218,-130,-199
X,236,44.1,0.102,-111,-101
X,126.6,36.5,0.212,-98,-191
X,63.26,75.6,0.1751,-94,-171
Z,13.18,1264,0.00082,-85.2,34.2
Z,54.03,1146.45,0.000899035,-81,36
M,43.45,763.01,0.000831277,-75,0
M,66.56,751.08,0.000736616,-60,-19
AB,6.2,490.5,0.001241628,-55,28
M,42.69,950.92,0.000906074,-53,-44
AB,5.89,243.32,0.006132614,-45,-38
M,82.11,3907,0.00027,-36,-5
AB,4.47,143,0.00468,-35,-18
AB,2.36,231,0.00325,-28,7
M,96.75,2007.48,0.000732589,-27,-17
M,44.84,2570,0.00055,-27,4
X,50.8,250.7,0.033,-21,-44
M,33.8,1167,0.000140,-21.2,15.7
AB,2.83,132,0.0088,-21,-7
M,86.0,2793,0.00024,-20.6,-1.3
AB,3.26,97,0.00533,-20,-16
AB,4.37,176,0.00008,-20,1
Y,122.0,396,0.00057,-19.9,25.2
M,83.6,2532,0.000120,-19.4,-1.9
M,67.17,1623,0.0003,-19,18
Z,25.6,6536,0.00117,-18.8,26.8
M,77.7,239,0.0013,-18.0,16.9
M,57.3,969.62,0.000697134,-18,24
M,33.40,2007,0.00102,-16,-8
AB,3.02,101,0.0021,-15.9,-9.7
Y,123,1024,0.000430,-15.6,32.2
