Type,12C/13C,err+[12C/13C],err-[12C/13C]
X,9455.1,591.4,591.4
X,6793,5233,2060
X,6227,1007,1007
X,4250,690,690
X,3993.46,417.47,345.28
C,3290.1,526.9,526.9
X,3101.02,115.81,115.81
X,2882.4,77,77
X,2807,886,886
X,2730,495,363
X,2525,143,143
X,2509.69,85.05,85.05
X,2377.19,27.91,27.91
X,2234.3,79,79
X,2224,131,117
X,1980.8,20.73,20.73
X,1877,13206,876
X,1848,378,378
X,1721,53,50
X,1693.89,21.11,21.11
X,1621,488,305
X,1581,102,102
X,1549.52,29.49,29.49
X,1528,270,270
X,1510.1,29.8,29.8
X,1453.1,36.9,36.9
X,1413,186,147
X,1357.41,100,100
X,1299.53,67.94,67.94
X,1296.0,328.3,328.3
X,1272,63,57
X,1234,358,226
X,1229,70,63
X,1219,13613,583
X,1205.79,204.12,204.12
X,1135,58,58
X,1128.8,32,32
X,1086,120,98
X,1038,36,33
X,1029.70,37.26,37.26
X,1026,65,65
X,999,88,75
X,959,36,36
X,946.59,68.20,68.20
X,900.28,63.14,63.14
X,880.6,11.7,11.4
C,844,34,34
X,823,18,18
X,765,147,147
Y,747.67,5.97,5.97
X,729,43,39
X,723.90,42.79,42.79
X,705,38,35
X,700.96,1808.41,293.58
X,693.38,9.15,9.15
X,681.6,9.4,9.4
X,678.5,20.4,20.4
X,677,23,21
X,648.5,12.2,12.2
X,634,103,103
X,621,15,15
X,617,16,15
X,614.03,24.32,24.32
X,607.48,45.32,39.43
X,604,10,10
X,603,49,42
X,591,42,42
X,586,16,15
X,579.7,4.3,4.3
X,578.92,18.64,18.64
X,577.2,103.6,103.6
X,570,14.2,14.2
X,560.30,30.78,30.78
X,556,42,42
X,552.0,8.5,8.5
X,534,16,15
X,532,13,13
X,508.6,8.4,8.4
X,506.35,34.59,34.59
X,506.1,12.2,12.2
X,498.41,25.32,25.32
X,489,14,14
X,479.84,73.51,56.27
X,478.06,42.07,35.78
X,475,75,57
X,468.6,5.1,5.1
X,456.80,12.41,12.41
X,455,445,151
X,454,17,15
X,448,18,17
X,444.61,118.97,118.97
X,443,113,75
X,442.8,7.7,7.7
X,437,2.77,2.77
X,434.57,20.8,20.8
X,430,1000000,277
X,409.18,13.99,13.99
X,408.89,183.26,96.64
X,408.5,2.3,2.3
X,396.9,9.9,9.9
X,395.41,11.65,11.65
X,391,27,27
C,389.58,39.64,39.64
X,389,19,19
C,386.61,7.66,7.66
X,381.37,11.47,11.47
X,381,15,15
X,381,13,13
X,379.16,68.40,50.27
X,378,949,158
X,372,6,6
C,368.49,52.76,52.76
X,365.6,3.8,3.8
X,364,18,17
Y,361.4,17.6,17.6
X,357.28,9.01,9.01
X,357,9,9
X,348,26,22
X,345.1,6.3,6.3
X,344.6,3.2,3.2
X,342,52,40
X,336,180,87
X,330.8,9.1,8.6
X,329,22,22
X,328.1,4.7,4.7
X,325.5,14.0,14.0
X,324.30,15.52,15.52
X,321,76,52
X,320.11,18.75,16.78
X,319.6,90.0,90.0
X,317,11,10
X,317,32,26
X,316.6,9.1,8.6
X,316.27,10.47,9.82
X,315.1,10.4,9.7
X,314,31,31
X,310.6,8.7,8.3
X,308.36,11.93,11.93
X,306.3,5.8,5.8
X,304,3,3
X,303.3,1.87,1.87
X,301.9,66.6,66.6
X,301.6,3.2,3.2
X,296.32,25.04,21.42
Y,295,6,6
X,294,57,41
X,291,8,8
X,289.9,5.7,5.5
X,287,59,42
X,287.4,58.7,41.7
X,286,12,12
X,286,5,5
X,277.8,8.2,8.2
X,277.17,34.18,34.18
X,276.7,7.0,6.7
X,275,9.6,9.6
X,274,20,17
X,270.42,6.46,6.46
X,270.2,31.2,31.2
Y,267.2,39.8,39.8
C,265,14,14
X,265.11,5.61,5.61
X,264.48,4.59,4.59
Y,258.22,8.83,8.83
Y,255.42,1.37,1.37
X,254.44,10.02,10.02
X,250.2,1.7,1.7
X,243.6,4.8,4.8
X,243.4,3.6,3.6
X,241.5,5.8,5.8
X,241.06,5.87,5.87
X,236,52,36
X,234.75,1.42,1.42
X,234.7,8.3,7.8
C,233,8,8
X,232,9,9
X,230.59,6.86,6.48
X,230.4,2.8,2.8
Y,229,7,7
X,228.5,4.54,4.54
X,227.45,30.36,23.96
X,227.22,8.46,7.87
X,226,27,22
X,224.28,3.31,3.31
X,223,39,39
X,220.91,4.63,4.63
X,219.60,6.25,6.25
X,216.59,5.84,5.84
X,216.2,1.3,1.3
X,216,15,13
X,214.8,7.7,7.7
Y,214.00,4.40,4.40
Y,213.10,2.25,2.25
Y,212.06,13.84,12.24
Y,211.26,7.11,7.11
Y,211.0,16.3,16.3
X,210.6,1.24,1.24
X,210.33,7.56,7.56
Y,209.75,27.44,21.75
Y,209.50,7.13,7.13
X,209.2,3.9,3.7
Y,209.00,4.33,4.33
Y,208.04,2.74,2.74
