Type,d(29Si/28Si),d(30Si/28Si)
X,-662,-770
X,-451,-719
X,-594,-717
X,-499,-709
X,-366,-705
X,-455,-705
X,-514,-704
X,-357,-703
X,-269,-699
X,-555,-694
X,-350,-691
X,-563,-669
X,-345,-668
X,-474,-667
X,-492,-666
X,-531,-659
X,-485,-658
X,-279,-658
X,-406,-658
X,-335,-647.14
X,-569,-647
X,-392,-640
X,-343,-634
X,-286,-630
X,-521,-628
X,-307,-626
X,-492,-624
X,-374,-620
X,-428,-617
X,-645,-612
X,-99,-605
X,-588,-605
X,-309,-604
X,-493,-603
X,-524,-601
X,-329,-599
X,-361,-599
X,-307,-599
X,-460,-598
X,-348,-594
X,-319,-593
X,-445,-591
X,-359,-591
X,-381,-589
X,-346,-589
X,-342,-587
X,-338,-587
X,-376,-585
X,-418,-585
X,-355,-585
X,-337,-582
X,-398,-582
X,-469,-581
X,-396,-579
X,-490.6,-578.3
X,-445.4,-576.4
X,-436,-575
X,-397,-572.5
X,-430,-572
X,-383,-570
X,-410,-568
X,-494,-566
X,-309,-565
X,-387,-563
X,-432,-558
X,-355,-557
X,-341,-556
X,-382,-553
X,-328,-552
X,-402,-552
X,-665,-550
X,-345,-549
X,-318,-541
X,-341,-540
X,-323,-538
X,-321,-537
X,-323,-536
X,-375,-536
X,-576,-536
X,-448,-535
X,-453,-533
X,-215,-530
X,-363,-529
X,-601,-528
X,-407,-525
X,-598,-523
X,-328,-522
X,-351,-520
X,-685,-520
X,-314,-520
X,-425,-519
X,-476,-519
X,-460,-518
X,-318,-517
X,-356,-517
X,-342,-517
X,-408,-516
X,-328,-512
X,-337,-511
X,-361,-510
X,-391,-510
X,-534,-510
X,-535,-509
X,-603,-509
X,-289,-508
X,-404,-508
X,-332,-507
X,-309,-504
X,-348,-504
X,-249,-504
X,-281,-504
X,-396,-504
X,-473.3,-501.9
X,-292,-501
X,-430,-501
X,-683,-501
X,-433,-500
X,-516,-498
X,-313,-498
X,-267,-498
X,-290,-497
X,-346.49,-496.80
X,-456,-496
X,-353,-496
X,-433,-495
X,-310,-495
X,-393,-494
X,-436,-494
X,-339,-493
X,-370,-493
X,-263,-492
X,-327,-492
X,-365,-491
N,-489,-491
X,-336,-491
X,-684,-490
X,-329,-490
X,-336,-489
X,-395,-487
X,-317,-487
X,-453,-486
X,-323,-484
X,-364,-483
X,-264,-483
X,-403,-481
X,-287,-481
X,-352,-481
X,-420,-480
X,-367,-480
X,-344,-479
X,-306,-479
X,-361,-477
X,-588,-476
X,-266,-476
X,-271,-475
X,-746.5,-474.7
X,-551,-473
X,-570,-473
X,-275,-473
X,-301,-472
X,-551,-472
X,-266,-472
X,-462,-471
X,-302,-471
X,-314,-469
X,-335,-469
X,-578,-468
X,-325,-468
X,-332,-467
X,-521,-467
X,-332,-467
X,-326,-467
X,-330,-467
X,-419.4,-467.0
X,-609,-466
X,-381,-466
X,-329,-465
X,-260,-465
X,-351,-465
X,-404,-464
X,-448,-464
X,-332,-463
X,-331.7,-463
X,-346,-462
X,-334.5,-461.88
X,-543,-461
X,-302,-461
X,-314,-461
X,-600,-459
X,-344,-459
X,-243.7,-459
X,-295,-458
X,-526,-458
X,-328,-458
X,-504,-458
X,-298,-457
X,-483,-457
X,-296,-457
X,-338,-457
X,-428,-456
X,-295,-456
X,-265.9,-456.0
X,-561,-455
X,-459,-454
X,-335,-454
X,-562,-451
X,-536,-451
X,-312,-450
X,-292.1,-448.3
X,-374,-448
X,-342,-448
X,-653,-446
M,156,-446
X,-320,-445
X,-297,-445
X,-339,-445
X,-284,-443
X,-298,-443
X,-549,-442
X,-312,-441
X,-366,-440
X,-279,-439
X,-350,-439
X,-322,-438
X,-552,-438
X,-303,-438
X,-327,-438
X,-308.8,-436.1
X,-254,-435
X,-460,-434
X,-301,-433
X,-236,-433
X,-321,-432
X,-295,-432
X,-358,-432
X,-275,-431
X,-441,-430
X,-272.7,-430
X,-293,-430
X,-324,-429
X,-349,-427
X,-232,-427
X,-286,-425
X,-272.3,-425
X,-261,-424
X,-446,-424
X,-275,-424
X,-378,-424
X,-442,-423
X,-273,-423
X,-244,-423
X,-297.9,-422.4
X,-451,-422
X,-295,-422
X,-249,-421
X,-274,-421
X,-258,-420
X,-310,-419
X,-214,-419
X,-480,-417
X,-291,-417
X,-267,-417
X,-299,-416
X,-282,-413
X,-588.5,-412.2
X,-248,-412
X,-245,-412
X,-293.8,-411.49
X,-206,-411
X,-292,-410
X,-228,-410
X,-202,-410
X,-255,-408
X,-381,-407
X,-263,-407
X,-251,-407
X,-283,-407
X,-288,-406
X,-277,-406
X,-307,-405
X,-277,-404
X,-287,-404
X,-286,-404
X,-281,-404
X,-246,-403
X,-331,-402
X,-286,-401
X,-315,-401
X,-276,-401
X,-224,-400
X,-452,-399
X,-272,-399
X,-425,-399
X,-415,-398
X,-253.3,-398.1
X,-248,-398
X,-477,-398
X,-230.9,-396.1
X,-326,-396
X,-268,-395
X,-261,-395
X,-291.9,-394.6
X,-361,-394
X,-270,-393
X,-218,-393
X,-495,-393
